start_date,end_date,dayflag,area_id,area_name,generation,rate
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,10代以下,0.664
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,20代,0.0
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,30代,0.0
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,40代,0.0
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,50代,0.336
20250911,20250913,休日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,60代,0.0
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,10代以下,0.0
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,20代,0.0
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,30代,0.642
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,40代,0.0
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,50代,0.358
20250911,20250913,平日,9539342a-9cc3-4fe8-911f-d198b54f8717,第一ほうせい,60代,0.0
